1.84,-2.15,1.83,0.95,-3.22,4.19,-1.18,0.66,-5.41,2.71,0.93,-4.12,3.88,-1.02,2.52,-1.88,1.34,-2.99,0.41,2.19,-3.57,1.99,-0.88,1.44,-2.33,3.12,-1.67,0.84,-1.93,2.66,-0.73,1.59
0.00,1.11,-1.76,3.98,-2.15,1.23,-3.31,2.88,1.56,-4.04,2.19,-0.92,2.66,-1.45,3.89,-2.22,0.93,-1.78,2.14,-0.66,1.23,-2.88,3.99,-1.44,2.88,-1.11,0.77,-3.00,1.88,-0.45,2.71,-1.55
0.00,0.00,1.96,-6.11,1.23,-3.45,2.88,-0.93,1.45,-2.89,0.66,1.99,-4.13,3.11,-0.77,2.15,-1.34,2.77,-0.56,1.88,-3.66,2.44,-1.12,0.93,-2.11,3.66,-1.56,0.89,-2.66,1.45,-1.22,1.99
0.00,0.00,0.00,1.32,-1.89,2.66,-4.11,3.00,-0.77,2.11,-3.56,1.89,-1.22,3.45,-2.66,0.99,1.55,-3.23,2.11,-0.66,2.78,-1.89,1.33,-2.45,3.99,-1.56,0.77,-3.11,1.89,-0.99,2.66,-1.45
0.00,0.00,0.00,0.00,1.18,2.01,-4.89,-3.08,-3.50,-3.58,3.43,4.66,-2.45,3.51,4.35,0.15,-2.81,3.57,0.35,-2.79,-0.91,-3.82,3.57,1.43,4.75,-2.98,3.31,0.73,-2.95,-1.88,-1.49,-1.51
0.00,0.00,0.00,0.00,0.00,1.20,-2.05,3.42,-3.14,4.60,-3.12,4.45,0.13,-2.80,-1.48,0.91,3.49,-1.88,4.66,1.02,-2.39,4.04,0.84,-4.75,-2.61,-0.33,3.35,2.70,5.02,3.70,0.70,0.18
0.00,0.00,0.00,0.00,0.00,0.00,1.22,-2.94,5.00,-3.94,0.24,0.87,-4.78,-3.17,-2.25,0.25,0.88,1.47,-0.58,-2.00,0.20,-4.83,-3.36,-4.45,-2.56,-0.12,2.76,3.82,2.59,2.94,-0.29,-0.14
0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.24,-2.61,3.72,0.27,-0.69,-1.82,0.94,-5.24,5.21,4.76,0.33,1.54,-1.49,3.37,2.75,-0.39,1.40,2.82,5.19,3.51,-4.44,-1.42,5.36,3.85,-4.64
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.26,5.02,-4.76,4.85,-2.95,-3.88,1.05,-1.20,4.76,-3.49,-4.08,-1.29,-5.13,-4.88,-1.11,-3.18,4.54,-0.80,-5.13,4.62,4.61,3.71,0.34,-3.72
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.28,3.36,-5.14,4.25,-1.52,3.63,-0.79,1.09,-4.93,1.07,1.40,3.95,2.10,2.58,-3.38,-4.29,1.40,3.84,-3.24,-1.89,-4.47,-3.69,2.25
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,-2.76,1.26,-2.46,-3.63,5.14,1.11,0.49,3.11,1.77,-5.06,-0.08,-2.06,-3.12,3.38,-4.32,1.47,-5.31,-3.41,4.67,3.49,-3.03
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.32,-3.29,-0.65,-1.45,4.30,-4.47,-5.40,0.53,-3.02,0.65,-2.88,5.15,0.45,-3.56,1.59,-1.38,5.22,1.84,-0.51,5.36,-0.61
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.34,2.67,-0.01,1.78,-4.62,4.73,-0.17,0.07,-0.75,5.24,3.25,-1.57,-0.44,0.50,0.42,-1.05,-0.39,2.44,-4.34,-0.83
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.36,-1.76,2.29,2.97,-3.15,1.78,-1.28,-4.48,0.34,2.01,0.34,-2.32,2.39,-5.01,-2.22,-2.25,-2.16,3.83,-0.86
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.38,-0.55,4.01,-2.04,-3.89,2.59,-0.19,-1.82,-0.01,-2.07,0.65,-0.68,2.41,4.23,4.60,-0.05,4.49,0.55
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,-0.83,3.25,1.18,1.57,-4.85,-2.58,1.85,-2.49,1.31,-2.14,-4.02,4.80,1.51,-0.40,-0.04,-3.44
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.42,0.93,1.02,-4.93,0.22,-2.14,2.68,-3.26,-1.06,-3.08,2.51,5.13,4.99,3.74,-3.52,-2.03
